"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
6.4,0.35,0.28,1.6,0.037,31,113,0.98779,3.12,0.4,14.2,7
7.5,0.42,0.45,9.1,0.029,20,125,0.996,3.12,0.36,10.1,6
8,0.59,0.71,17.35,0.038,61,228,1,2.95,0.75,9.3,5
6.7,0.24,0.46,2.2,0.033,19,111,0.99045,3.1,0.62,11.9,6
6.2,0.34,0.29,7.6,0.047,45,232,0.9955,3.35,0.62,10,6
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6
6.9,0.22,0.32,9.3,0.04,22,110,0.9958,3.34,0.54,10.7,7
6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,8
7,0.22,0.26,2.8,0.036,44,132,0.99078,3.34,0.41,12,7
5.8,0.23,0.2,2,0.043,39,154,0.99226,3.21,0.39,10.2,6
5.7,0.14,0.3,5.4,0.045,26,105,0.99469,3.32,0.45,9.3,5
5.8,0.28,0.34,4,0.031,40,99,0.9896,3.39,0.39,12.8,7
6.8,0.11,0.42,1.1,0.042,51,132,0.99059,3.18,0.74,11.3,7
7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,6
7.2,0.24,0.34,1.1,0.045,3,64,0.9913,3.23,0.51,11.4,5
7.6,0.37,0.51,11.7,0.094,58,181,0.99776,2.91,0.51,9,5
5.9,0.24,0.26,12.3,0.053,34,134,0.9972,3.34,0.45,9.5,6
8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,6
4.9,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6
7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6
6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,6
7.4,0.28,0.36,1.1,0.028,42,105,0.9893,2.99,0.39,12.4,7
8.9,0.21,0.37,1.2,0.028,20,93,0.99244,3.2,0.37,11.5,5
5.8,0.13,0.22,12.7,0.058,24,183,0.9956,3.32,0.42,11.7,6
6,0.27,0.3,14.7,0.044,15,144,0.99666,3.12,0.53,10.3,6
7.4,0.2,0.37,1.2,0.028,28,89,0.99132,3.14,0.61,11.8,6
7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4
5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,6
5.9,0.28,0.39,1.4,0.031,47,147,0.98836,3.08,0.64,12.9,7
7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,5
8.1,0.24,0.26,11,0.043,41,211,0.99676,3.11,0.49,10,6
6.6,0.28,0.36,1.7,0.038,22,101,0.9912,3.29,0.57,11.6,6
7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
7.4,0.2,0.31,1.6,0.038,34,116,0.9912,3.25,0.39,12,7
6.8,0.17,0.35,1.8,0.04,29,84,0.98961,2.91,0.57,12,7
6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7
6.7,0.13,0.32,3.7,0.017,32,99,0.99348,3.12,0.44,10,6
6.7,0.22,0.22,1.2,0.038,5,124,0.99098,3.1,0.37,11.2,4
6.3,0.24,0.55,8.1,0.04,67,216,0.99596,3.24,0.5,9.2,5
7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,5
6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,5
10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,5
6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,6
7.5,0.33,0.48,19.45,0.048,55,243,1.001,2.95,0.4,8.8,5
7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,5
7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6
6.2,0.34,0.25,12.1,0.059,33,171,0.99769,3.14,0.56,8.7,6
7,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5,6
7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,6
6.3,0.29,0.23,14.2,0.037,24,99,0.99528,3.08,0.38,10.6,6
7.6,0.47,0.49,13,0.239,42,220,0.9988,2.96,0.51,9.2,5
6.1,0.36,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,6
7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,5
8,0.37,0.31,4.7,0.038,3,127,0.99186,2.9,0.72,12.1,5
6.6,0.25,0.35,2.9,0.034,38,121,0.99008,3.19,0.4,12.8,6
6.7,0.265,0.22,8.6,0.048,54,198,0.9955,3.25,0.41,10.2,5
7.7,0.26,0.34,6.4,0.05,36,163,0.9937,3.19,0.7,11.5,6
7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,5
5.6,0.255,0.57,10.7,0.056,66,171,0.99464,3.25,0.61,10.4,7
6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7
6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6
5.9,0.24,0.34,2,0.037,40,108,0.98948,3.19,0.5,12.3,6
7.2,0.35,0.25,5.6,0.032,23,120,0.99334,2.93,0.66,10.3,7
4.9,0.47,0.17,1.9,0.035,60,148,0.98964,3.27,0.35,11.5,6
7.1,0.33,0.25,1.6,0.03,25,126,0.9901,3.22,0.34,12.1,7
7.8,0.27,0.34,1.6,0.046,27,154,0.9927,3.05,0.45,10.5,6
6.8,0.34,0.44,6.6,0.052,28,156,0.9955,3.14,0.41,9.6,5
6.8,0.27,0.42,7.3,0.054,58,200,0.99556,3.12,0.49,9.4,6
5,0.255,0.22,2.7,0.043,46,153,0.99238,3.75,0.76,11.3,6
4.7,0.785,0,3.4,0.036,23,134,0.98981,3.53,0.92,13.8,6
7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,7
7.7,0.24,0.31,1.3,0.047,33,106,0.993,3.22,0.55,10.8,6
6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,5
6.2,0.3,0.2,6.6,0.045,42,170,0.9944,3.36,0.45,10.4,6
6.4,0.32,0.5,10.7,0.047,57,206,0.9968,3.08,0.6,9.4,5
7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,8
6,0.19,0.26,1.4,0.039,30,104,0.98998,3.32,0.41,12.4,6
6.8,0.19,0.23,5.1,0.034,71,204,0.9942,3.23,0.69,10.1,5
6.5,0.35,0.38,7.4,0.036,20,196,0.99712,3.47,0.48,9.1,6
6.8,0.37,0.47,11.2,0.071,44,136,0.9968,2.98,0.88,9.2,5
6.1,0.41,0.2,12.6,0.032,54,136,0.99516,2.91,0.43,10.6,6
5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,6
7,0.24,0.3,12.3,0.035,72,172,0.9954,2.99,0.57,10.4,6
9.5,0.42,0.41,2.3,0.034,22,145,0.9951,3.06,0.52,11,6
6.5,0.28,0.25,4.8,0.029,54,128,0.99074,3.17,0.44,12.2,7
6.9,0.18,0.33,1,0.054,24,164,0.9926,3.42,0.51,10.5,5
6.6,0.25,0.33,8.5,0.042,29,141,0.99546,3.28,0.6,10.4,5
5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.7333333333,5
6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5
6.7,0.22,0.33,1.2,0.036,36,86,0.99058,3.1,0.76,11.4,6
7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6
7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5
7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,5
6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,5
5.8,0.29,0.33,3.7,0.029,30,88,0.98994,3.25,0.42,12.3,6
6,0.27,0.32,3.6,0.035,36,133,0.99215,3.23,0.46,10.8,6
7.1,0.26,0.31,2.2,0.044,29,128,0.9937,3.34,0.64,10.9,8
6.4,0.28,0.56,1.7,0.156,49,106,0.99354,3.1,0.37,9.2,6
8.1,0.33,0.22,5.2,0.047,24,151,0.99527,3.22,0.47,10.3,5
6.3,0.15,0.3,1.4,0.022,38,100,0.99099,3.42,0.57,11.4,7
8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,5
6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,5
6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5,4
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
7.7,0.35,0.49,8.65,0.033,42,186,0.9931,3.14,0.38,12.4,8
6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,5
5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,7
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6
6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
6.4,0.3,0.33,5.2,0.05,30,137,0.99304,3.26,0.58,11.1,5
5.9,0.32,0.26,1.5,0.057,17,141,0.9917,3.24,0.36,10.7,5
6.6,0.13,0.3,4.9,0.058,47,131,0.9946,3.51,0.45,10.3,6
8.8,0.2,0.43,15,0.053,60,184,1.0008,3.28,0.79,8.8,6
5.1,0.31,0.3,0.9,0.037,28,152,0.992,3.54,0.56,10.1,6
6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,5
7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4,6
6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.35,6
8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6
7.6,0.33,0.41,13.7,0.045,44,197,0.9989,3.18,0.64,9.1,5
7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,5
6.4,0.24,0.23,2,0.046,30,133,0.9908,3.12,0.54,11.4,7
6.6,0.21,0.36,0.8,0.034,48,113,0.99165,3.24,0.68,10.5,6
6.9,0.32,0.3,1.8,0.036,28,117,0.99269,3.24,0.48,11,6
6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,6
6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,7
5.8,0.18,0.37,1.2,0.036,19,74,0.98853,3.09,0.49,12.7,7
6.7,0.27,0.3,13.9,0.029,34,131,0.9953,3.36,0.5,12,7
5.6,0.15,0.31,5.3,0.038,8,79,0.9923,3.3,0.39,10.5,6
6.6,0.28,0.23,10.4,0.049,45,190,0.99754,3.12,0.51,8.8,5
7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6
6.5,0.16,0.34,1.4,0.029,29,133,0.99108,3.33,0.64,11.5,7
7.4,0.23,0.38,8.6,0.052,41,150,0.99534,3.06,0.46,10.3,5
6.6,0.16,0.36,1.1,0.031,27,93,0.98884,3.23,0.34,13.2,8
8,0.33,0.32,4.6,0.041,31,180,0.99184,2.92,0.74,12.2,6
7.9,0.35,0.24,15.6,0.072,44,229,0.99785,3.03,0.59,10.5,6
5.8,0.18,0.37,1.1,0.036,31,96,0.98942,3.16,0.48,12,6
5.1,0.39,0.21,1.7,0.027,15,72,0.9894,3.5,0.45,12.5,6
6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.1333333333,7
8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11,6
4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,7
6.8,0.21,0.37,7,0.038,27,107,0.99206,2.98,0.82,11.5,6
6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6
6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5
6.7,0.33,0.49,1.6,0.167,20,94,0.9914,3.11,0.5,11.4,6
9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,4
6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7
6.8,0.17,0.36,1.4,0.036,38,108,0.99006,3.19,0.66,12,6
5.7,0.28,0.35,1.2,0.052,39,141,0.99108,3.44,0.69,11.3,6
5.8,0.15,0.31,5.9,0.036,7,73,0.99152,3.2,0.43,11.9,6
6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,6
9.2,0.34,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8,5
6.1,0.28,0.3,7.75,0.031,33,139,0.99296,3.22,0.46,11,6
7,0.36,0.32,10.5,0.045,35,135,0.9935,3.09,0.33,11.6,8
6,0.32,0.3,1.3,0.025,18,112,0.98802,3.07,0.64,13.3,7
6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8,5
6.5,0.19,0.28,1.4,0.046,22,90,0.99038,3.18,0.51,11.7,7
6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5
6.8,0.32,0.33,0.7,0.027,15,66,0.9899,3.11,0.31,11.8,6
7.5,0.35,0.28,9.6,0.051,26,157,0.9969,3.12,0.53,9.2,6
6.2,0.34,0.3,11.1,0.047,28,237,0.9981,3.18,0.49,8.7,5
6.5,0.26,0.5,8,0.051,46,197,0.99536,3.18,0.47,9.5,5
7.3,0.36,0.34,14.8,0.057,46,173,0.99751,3.14,0.57,10.2,5
6.4,0.27,0.3,1.6,0.04,19,86,0.99089,3.32,0.65,11.5,6
9.2,0.19,0.42,2,0.047,16,104,0.99517,3.09,0.66,10,4
8,0.27,0.57,10.4,0.053,18,134,0.99732,3.12,0.68,9,5
7.6,0.27,0.42,2.6,0.044,29,110,0.9912,3.31,0.51,12.7,6
8.8,0.39,0.34,5.9,0.055,33,128,0.9927,2.95,0.51,11.8,6
6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,5
6.2,0.21,0.18,11.6,0.044,61,155,0.99655,3.14,0.52,9.4,6
6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5,7
6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,6
7.7,0.38,0.4,2,0.038,28,152,0.9906,3.18,0.32,12.9,6
7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,6
7.8,0.28,0.32,9,0.036,34,115,0.9952,3.17,0.39,10.3,7
5.2,0.335,0.2,1.7,0.033,17,74,0.99002,3.34,0.48,12.3,6
7.2,0.23,0.38,6.1,0.067,20,90,0.99496,3.17,0.79,9.7,5
6.6,0.325,0.49,7.7,0.049,53,217,0.996,3.16,0.4,9.3,5
6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4,5
6.3,0.16,0.4,1.6,0.033,59,148,0.9914,3.44,0.53,11.4,5
7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6
6.7,0.43,0.23,5,0.157,49,145,0.99471,3.17,0.49,9.4,5
6.3,0.23,0.22,17.45,0.054,42,151,0.99853,3.12,0.6,9.3,6
6.6,0.17,0.3,1.1,0.031,13,73,0.99095,3.17,0.58,11,6
7.8,0.24,0.38,2.1,0.058,14,167,0.994,3.21,0.55,9.9,5
7,0.15,0.38,15.3,0.045,54,120,0.9975,3.18,0.42,9.8,6
6.8,0.18,0.32,7.2,0.047,17,109,0.99498,3.42,0.44,10.4,6
7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7
7.4,0.2,0.33,1.9,0.035,39,138,0.991,3.17,0.44,11.7,7
6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7
5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,7
7.8,0.27,0.28,1.8,0.05,21,127,0.9934,3.15,0.44,9.9,5
7.6,0.39,0.46,11.7,0.084,55,170,0.99773,2.91,0.51,9,5
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
6.9,0.24,0.34,4.7,0.04,43,161,0.9935,3.2,0.59,10.6,6
8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,4
6.6,0.24,0.3,11.3,0.026,11,77,0.99381,3.13,0.55,12.8,7
7,0.27,0.48,6.1,0.042,60,184,0.99566,3.2,0.5,9.4,6
6.4,0.33,0.28,4,0.04,24,81,0.9903,3.26,0.64,12.6,7
6.6,0.33,0.32,15.6,0.054,62,227,0.99734,3.25,0.56,10.4,5
6.9,0.17,0.25,1.6,0.047,34,132,0.9914,3.16,0.48,11.4,5
6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,6
8,0.55,0.42,12.6,0.211,37,213,0.9988,2.99,0.56,9.3,5
6.3,0.24,0.35,2.3,0.039,43,109,0.99056,3.34,0.44,11.8,6
7.6,0.48,0.31,9.4,0.046,6,194,0.99714,3.07,0.61,9.4,5
8.4,0.2,0.27,6.3,0.048,30,143,0.9966,3.25,0.5,9.1,6
5.9,0.25,0.19,12.4,0.047,50,162,0.9973,3.35,0.38,9.5,5
6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7
6.9,0.36,0.35,8.6,0.038,37,125,0.9916,3,0.32,12.4,8
6,0.32,0.3,7.3,0.174,46,159,0.99519,3.18,0.49,9.4,5
6.4,0.24,0.29,1,0.038,18,122,0.9906,3.3,0.42,11.5,5
6,0.29,0.21,15.55,0.043,20,142,0.99658,3.11,0.54,10.1,6
5.1,0.33,0.27,6.7,0.022,44,129,0.99221,3.36,0.39,11,7
7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,4
5.7,0.16,0.32,1.2,0.036,7,89,0.99111,3.26,0.48,11,5
7.6,0.36,0.44,8.3,0.255,28,142,0.9958,3.12,0.43,10.2,6
6.9,0.28,0.3,8.3,0.026,37,113,0.99139,2.99,0.38,12.3,8
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5
5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.65,6
8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,6
6.3,0.34,0.27,2.5,0.024,40,152,0.99095,3.35,0.6,11.9,7
6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2,5
6.8,0.23,0.32,8.6,0.046,47,159,0.99452,3.08,0.52,10.5,6
6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2,7
7.4,0.27,0.28,1.8,0.04,45,121,0.99043,3.02,0.4,11.9,5
6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,6
8,0.27,0.25,19.1,0.045,50,208,1.00051,3.05,0.5,9.2,6
6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5
6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,6
7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7
6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,5
7.1,0.25,0.3,2.4,0.042,25,122,0.994,3.43,0.61,10.5,6
8.1,0.19,0.58,16.65,0.049,48,181,1.0006,3.2,0.62,9.1,6
6.8,0.22,0.37,1.7,0.036,38,195,0.9908,3.35,0.72,12.5,6
6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7
6.9,0.19,0.32,7.9,0.042,30,130,0.99456,3.4,0.39,10.5,6
5.3,0.26,0.23,5.15,0.034,48,160,0.9952,3.82,0.51,10.5,7
5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,6
6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,5
6.9,0.26,0.33,12.6,0.051,59,173,0.998,3.39,0.38,9.9,5
6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,6
8.9,0.27,0.28,0.8,0.024,29,128,0.98984,3.01,0.35,12.4,6
6.3,0.32,0.17,17.75,0.06,51,190,0.99916,3.13,0.48,8.8,6
5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6
6.9,0.48,0.36,3.5,0.03,31,135,0.9904,3.14,0.38,12.2,7
7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6
8.4,0.17,0.31,5.4,0.052,47,150,0.9953,3.24,0.38,9.8,5
8.3,0.26,0.41,9.2,0.042,41,162,0.9944,3.1,0.38,12,7
5.9,0.14,0.2,1.6,0.04,26,114,0.99105,3.25,0.45,11.4,6
6.6,0.29,0.29,1.8,0.036,38,102,0.98819,3.08,0.42,13.7,7
7.2,0.25,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5,5
6.5,0.33,0.24,14.5,0.048,20,96,0.99456,3.06,0.3,11.5,8
6.2,0.19,0.29,4.3,0.045,33,126,0.99658,3.18,0.42,9.3,6
10,0.2,0.39,1.4,0.05,19,152,0.994,3,0.42,10.4,6
6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6
5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3,5
8.2,0.23,0.37,1.3,0.042,39,117,0.9928,2.99,0.36,10,5
6.2,0.2,0.26,9.7,0.03,39,102,0.9908,3.08,0.56,12.9,7
6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5
6.6,0.34,0.2,1,0.053,26,112,0.99336,3.32,0.55,9.1,5
7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,5
7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,7
8,0.4,0.33,7.7,0.034,27,98,0.9935,3.18,0.41,12.2,7
6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,6
6.2,0.16,0.34,1.7,0.038,85,153,0.9909,3.33,0.86,12,7
6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,5
8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5
7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5
6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,5
7.2,0.14,0.32,1.1,0.022,48,116,0.99218,3.04,0.67,10,6
5.8,0.2,0.3,1.5,0.031,21,57,0.99115,3.44,0.55,11,6
6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,6
7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,4
7.6,0.27,0.25,13.9,0.05,45,199,0.9984,3.34,0.5,9.8,6
7.1,0.47,0.24,6,0.044,11,77,0.9956,3.21,0.56,9.7,5
